"Fact","Fact Note","Soledad city, California","Value Note for Soledad city, California","Seaside city, California","Value Note for Seaside city, California","Salinas city, California","Value Note for Salinas city, California"
"Population estimates, July 1, 2025, (V2025)","","NA","","NA","","NA",""
"Population estimates, July 1, 2024, (V2024)","","26,345","","31,524","","160,783",""
"Population estimates base, April 1, 2020, (V2025)","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2024)","","26,918","","32,381","","163,537",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2025, (V2025)","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-2.1%","","-2.6%","","-1.7%",""
"Population, Census, April 1, 2020","","24,925","","32,366","","163,542",""
"Population, Census, April 1, 2010","","25,738","","33,025","","150,441",""
"Persons under 5 years, percent","","5.3%","","5.0%","","7.9%",""
"Persons under 18 years, percent","","24.3%","","21.8%","","29.4%",""
"Persons 65 years and over, percent","","6.1%","","12.8%","","10.6%",""
"Female persons, percent","","36.4%","","49.9%","","49.8%",""
"White alone, percent","","14.9%","","38.6%","","23.1%",""
"Black alone, percent","(a)","7.0%","","4.8%","","1.2%",""
"American Indian and Alaska Native alone, percent","(a)","0.8%","","0.5%","","1.1%",""
"Asian alone, percent","(a)","3.3%","","9.9%","","5.7%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","1.6%","","0.1%",""
"Two or More Races, percent","","15.0%","","21.7%","","14.6%",""
"Hispanic or Latino, percent","(b)","80.7%","","48.2%","","80.9%",""
"White alone, not Hispanic or Latino, percent","","7.8%","","29.4%","","11.0%",""
"Veterans, 2020-2024","","472","","1,359","","2,943",""
"Foreign-born persons, percent, 2020-2024","","30.9%","","26.2%","","37.5%",""
"Housing Units, July 1, 2024, (V2024)","","X","","X","","X",""
"Owner-occupied housing unit rate, 2020-2024","","58.0%","","35.4%","","47.0%",""
"Median value of owner-occupied housing units, 2020-2024","","$595,900","","$787,100","","$654,100",""
"Median selected monthly owner costs - with a mortgage, 2020-2024","","$2,421","","$2,526","","$2,471",""
"Median selected monthly owner costs - without a mortage, 2020-2024","","$630","","$565","","$682",""
"Median gross rent, 2020-2024","","$1,698","","$2,409","","$1,991",""
"Building Permits, 2024","","X","","X","","X",""
"Households, 2020-2024","","4,749","","10,371","","43,620",""
"Persons per household, 2020-2024","","4.16","","2.91","","3.65",""
"Living in the same house 1 year ago, percent of persons age 1 year+ , 2020-2024","","91.4%","","82.5%","","91.9%",""
"Language other than English spoken at home, percent of persons age 5 years+, 2020-2024","","69.2%","","44.8%","","73.4%",""
"Households with a computer, percent, 2020-2024","","97.3%","","96.5%","","97.5%",""
"Households with a broadband Internet subscription, percent, 2020-2024","","94.5%","","95.4%","","94.4%",""
"High school graduate or higher, percent of persons age 25 years+, 2020-2024","","57.9%","","81.8%","","62.2%",""
"Bachelor's degree or higher, percent of persons age 25 years+, 2020-2024","","6.4%","","29.6%","","16.5%",""
"With a disability, under age 65 years, percent, 2020-2024","","2.7%","","7.0%","","5.4%",""
"Persons without health insurance, under age 65 years, percent","","11.8%","","13.9%","","13.4%",""
"In civilian labor force, total, percent of population age 16 years+, 2020-2024","","41.3%","","63.2%","","61.3%",""
"In civilian labor force, female, percent of population age 16 years+, 2020-2024","","52.7%","","59.9%","","56.5%",""
"Total accommodation and food services sales, 2022 ($1,000)","(c)","30,991","","146,844","","430,771",""
"Total health care and social assistance receipts/revenue, 2022 ($1,000)","(c)","15,275","","40,258","","1,728,956",""
"Total transportation and warehousing receipts/revenue, 2022 ($1,000)","(c)","D","","4,232","","357,988",""
"Total retail sales, 2022 ($1,000)","(c)","144,998","","1,033,142","","3,113,683",""
"Total retail sales per capita, 2022","(c)","$6,027","","$32,811","","$19,373",""
"Mean travel time to work (minutes), workers age 16 years+, 2020-2024","","30.0","","21.0","","26.6",""
"Median households income (in 2024 dollars), 2020-2024","","$96,862","","$85,311","","$91,908",""
"Per capita income in past 12 months (in 2024 dollars), 2020-2024","","$22,353","","$34,196","","$29,650",""
"Persons in poverty, percent","","16.7%","","16.0%","","13.6%",""
"Total employer establishments, 2023","","X","","X","","X",""
"Total employment, 2023","","X","","X","","X",""
"Total annual payroll, 2023 ($1,000)","","X","","X","","X",""
"Total employment, percent change, 2022-2023","","X","","X","","X",""
"Total nonemployer establishments, 2023","","X","","X","","X",""
"All employer firms, Reference year 2022","","174","","486","","2,406",""
"Men-owned employer firms, Reference year 2022","","S","","S","","513",""
"Women-owned employer firms, Reference year 2022","","111","","239","","1,255",""
"Minority-owned employer firms, Reference year 2022","","S","","S","","975",""
"Nonminority-owned employer firms, Reference year 2022","","42","","243","","975",""
"Veteran-owned employer firms, Reference year 2022","","S","","S","","99",""
"Nonveteran-owned employer firms, Reference year 2022","","153","","347","","1,904",""
"Population per square mile, 2020","","5,588.6","","3,627.3","","6,954.8",""
"Population per square mile, 2010","","5,831.1","","3,575.3","","6,490.5",""
"Land area in square miles, 2020","","4.46","","8.92","","23.52",""
