"Fact","Fact Note","Pacific Grove city, California","Value Note for Pacific Grove city, California","Monterey city, California","Value Note for Monterey city, California","Marina city, California","Value Note for Marina city, California","King City city, California","Value Note for King City city, California","Greenfield city, California","Value Note for Greenfield city, California","Gonzales city, California","Value Note for Gonzales city, California"
"Population estimates, July 1, 2025, (V2025)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates, July 1, 2024, (V2024)","","14,851","","29,015","","23,047","","13,920","","21,042","","8,431",""
"Population estimates base, April 1, 2020, (V2025)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population estimates base, April 1, 2020, (V2024)","","15,102","","30,226","","22,355","","13,334","","18,937","","8,639",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2025, (V2025)","","NA","","NA","","NA","","NA","","NA","","NA",""
"Population, percent change - April 1, 2020 (estimates base) to July 1, 2024, (V2024)","","-1.7%","","-4.0%","","3.1%","","4.4%","","11.1%","","-2.4%",""
"Population, Census, April 1, 2020","","15,090","","30,218","","22,359","","13,332","","18,937","","8,647",""
"Population, Census, April 1, 2010","","15,041","","27,810","","19,718","","12,874","","16,330","","8,187",""
"Persons under 5 years, percent","","3.7%","","5.1%","","4.7%","","10.4%","","10.0%","","8.9%",""
"Persons under 18 years, percent","","15.6%","","14.3%","","20.6%","","35.8%","","35.7%","","31.7%",""
"Persons 65 years and over, percent","","30.6%","","21.2%","","15.5%","","9.1%","","8.8%","","6.3%",""
"Female persons, percent","","53.9%","","49.3%","","50.0%","","49.2%","","49.7%","","54.0%",""
"White alone, percent","","73.2%","","64.8%","","41.9%","","15.4%","","15.9%","","15.7%",""
"Black alone, percent","(a)","1.1%","","2.3%","","7.8%","","0.2%","","1.0%","","0.4%",""
"American Indian and Alaska Native alone, percent","(a)","0.6%","","0.4%","","0.6%","","2.3%","","1.3%","","1.0%",""
"Asian alone, percent","(a)","7.8%","","6.9%","","13.2%","","3.9%","","0.8%","","0.2%",""
"Native Hawaiian and Other Pacific Islander alone, percent","(a)","0.2%","","0.5%","","3.0%","","0.0%","","0.0%","","0.0%",""
"Two or More Races, percent","","12.6%","","13.9%","","19.0%","","10.5%","","16.0%","","24.2%",""
"Hispanic or Latino, percent","(b)","13.0%","","23.6%","","30.1%","","88.3%","","96.1%","","95.1%",""
"White alone, not Hispanic or Latino, percent","","70.8%","","60.7%","","37.9%","","6.9%","","1.9%","","3.8%",""
"Veterans, 2020-2024","","939","","1,664","","1,236","","167","","226","","129",""
"Foreign-born persons, percent, 2020-2024","","13.8%","","17.7%","","21.6%","","43.0%","","43.4%","","33.2%",""
"Housing Units, July 1, 2024, (V2024)","","X","","X","","X","","X","","X","","X",""
"Owner-occupied housing unit rate, 2020-2024","","50.4%","","36.2%","","42.9%","","42.1%","","54.5%","","55.0%",""
"Median value of owner-occupied housing units, 2020-2024","","$1,190,400","","$1,076,300","","$818,700","","$449,900","","$531,400","","$618,800",""
"Median selected monthly owner costs - with a mortgage, 2020-2024","","$3,558","","$3,137","","$3,017","","$2,170","","$2,193","","$2,411",""
"Median selected monthly owner costs - without a mortage, 2020-2024","","$1,045","","$793","","$762","","$534","","$532","","$666",""
"Median gross rent, 2020-2024","","$2,455","","$2,353","","$2,101","","$1,534","","$1,724","","$1,524",""
"Building Permits, 2024","","X","","X","","X","","X","","X","","X",""
"Households, 2020-2024","","6,992","","12,534","","7,760","","3,242","","4,426","","2,280",""
"Persons per household, 2020-2024","","2.08","","2.10","","2.69","","4.18","","4.56","","3.72",""
"Living in the same house 1 year ago, percent of persons age 1 year+ , 2020-2024","","82.6%","","76.7%","","83.2%","","95.7%","","94.9%","","92.9%",""
